symbol,entry_date,exit_date,entry_price,exit_price,days_held,pnl_pct,pnl_rs,exit_reason,result
SONACOMS,2024-10-08,2024-10-16,668.6,659.0,5,-1.44,-9.6,SMA_EXIT,LOSS
SONACOMS,2025-12-04,2025-12-11,493.0,473.4,4,-3.98,-19.6,SMA_EXIT,LOSS
SONACOMS,2025-12-30,2026-01-02,478.0,475.0,2,-0.63,-3.0,SMA_EXIT,LOSS
PATANJALI,2022-07-14,2022-07-28,345.0,363.33,9,5.31,18.33,RSI_EXIT,WIN
PATANJALI,2022-11-04,2022-11-29,455.0,424.22,15,-6.76,-30.78,RSI_EXIT,LOSS
PATANJALI,2022-12-23,2022-12-26,380.4,365.0,0,-4.05,-15.4,SMA_EXIT,LOSS
PATANJALI,2023-08-14,2023-09-06,414.0,428.57,15,3.52,14.57,RSI_EXIT,WIN
PATANJALI,2023-09-28,2023-10-12,416.33,440.0,8,5.69,23.67,RSI_EXIT,WIN
PATANJALI,2023-10-25,2023-11-01,422.33,466.67,4,10.5,44.34,RSI_EXIT,WIN
PATANJALI,2023-11-20,2023-12-07,470.0,526.67,11,12.06,56.67,RSI_EXIT,WIN
PATANJALI,2024-01-18,2024-02-20,522.33,541.67,21,3.7,19.34,RSI_EXIT,WIN
PATANJALI,2024-02-29,2024-03-14,521.07,439.35,9,-15.68,-81.72,SMA_EXIT,LOSS
PATANJALI,2024-07-16,2024-07-25,521.47,541.67,5,3.87,20.2,RSI_EXIT,WIN
PATANJALI,2024-09-19,2024-11-04,605.0,603.0,30,-0.33,-2.0,MAX_HOLD,LOSS
PATANJALI,2024-11-22,2024-12-03,585.47,621.67,6,6.18,36.2,RSI_EXIT,WIN
PATANJALI,2024-12-13,2025-01-02,606.7,603.0,12,-0.61,-3.7,RSI_EXIT,LOSS
PATANJALI,2025-01-14,2025-02-10,599.67,613.37,19,2.28,13.7,RSI_EXIT,WIN
PATANJALI,2025-03-03,2025-03-05,580.33,575.0,1,-0.92,-5.33,SMA_EXIT,LOSS
PATANJALI,2025-04-30,2025-05-09,637.33,588.67,5,-7.63,-48.66,SMA_EXIT,LOSS
PATANJALI,2025-07-29,2025-08-12,615.33,591.67,9,-3.85,-23.66,SMA_EXIT,LOSS
FORTIS,2022-02-10,2022-02-15,260.0,263.3,2,1.27,3.3,SMA_EXIT,WIN
FORTIS,2022-11-24,2023-01-06,278.2,288.0,30,3.52,9.8,MAX_HOLD,WIN
FORTIS,2023-01-27,2023-02-15,277.85,267.25,12,-3.82,-10.6,SMA_EXIT,LOSS
FORTIS,2023-10-06,2023-10-16,329.7,339.0,5,2.82,9.3,RSI_EXIT,WIN
FORTIS,2023-10-23,2023-11-09,333.8,340.95,11,2.14,7.15,RSI_EXIT,WIN
FORTIS,2024-02-29,2024-03-27,417.25,414.95,17,-0.55,-2.3,RSI_EXIT,LOSS
FORTIS,2024-06-28,2024-07-16,479.0,487.0,11,1.67,8.0,RSI_EXIT,WIN
FORTIS,2024-08-08,2024-08-14,490.35,518.0,3,5.64,27.65,RSI_EXIT,WIN
FORTIS,2024-10-25,2024-11-04,585.6,636.1,5,8.62,50.5,RSI_EXIT,WIN
FORTIS,2024-12-19,2025-02-01,661.6,644.0,30,-2.66,-17.6,MAX_HOLD,LOSS
FORTIS,2025-02-17,2025-03-06,591.0,666.0,11,12.69,75.0,RSI_EXIT,WIN
FORTIS,2025-04-08,2025-05-27,644.45,708.6,30,9.95,64.15,MAX_HOLD,WIN
FORTIS,2025-07-14,2025-07-25,761.0,844.35,8,10.95,83.35,RSI_EXIT,WIN
FORTIS,2025-09-29,2025-11-14,938.0,950.0,30,1.28,12.0,MAX_HOLD,WIN
FORTIS,2025-11-17,2025-12-23,943.0,915.0,25,-2.97,-28.0,RSI_EXIT,LOSS
LICHSGFIN,2022-09-20,2022-11-03,415.6,364.25,29,-12.36,-51.35,SMA_EXIT,LOSS
LICHSGFIN,2023-01-09,2023-02-08,408.45,377.8,20,-7.5,-30.65,SMA_EXIT,LOSS
LICHSGFIN,2023-10-25,2023-11-30,454.0,478.95,24,5.5,24.95,RSI_EXIT,WIN
LICHSGFIN,2024-03-13,2024-04-02,625.0,638.0,11,2.08,13.0,RSI_EXIT,WIN
LICHSGFIN,2024-05-07,2024-06-13,635.95,722.0,26,13.53,86.05,RSI_EXIT,WIN
LICHSGFIN,2024-08-05,2024-08-21,710.35,677.5,10,-4.62,-32.85,RSI_EXIT,LOSS
